run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR2017707	SAMEA104142181	ERX2077289	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017707/ERR2017707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017707/ERR2017707_2.fastq.gz
ERR2017709	SAMEA104142179	ERX2077291	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017709/ERR2017709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017709/ERR2017709_2.fastq.gz
ERR2017711	SAMEA104142177	ERX2077293	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017711/ERR2017711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017711/ERR2017711_2.fastq.gz
ERR2017713	SAMEA104142175	ERX2077295	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017713/ERR2017713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017713/ERR2017713_2.fastq.gz
ERR2017715	SAMEA104142310	ERX2077297	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017715/ERR2017715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017715/ERR2017715_2.fastq.gz
ERR2017719	SAMEA104142170	ERX2077301	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017719/ERR2017719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017719/ERR2017719_2.fastq.gz
ERR2017720	SAMEA104142169	ERX2077302	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017720/ERR2017720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017720/ERR2017720_2.fastq.gz
ERR2017722	SAMEA104142167	ERX2077304	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017722/ERR2017722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017722/ERR2017722_2.fastq.gz
ERR2017727	SAMEA104142162	ERX2077309	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017727/ERR2017727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/007/ERR2017727/ERR2017727_2.fastq.gz
ERR2017728	SAMEA104142161	ERX2077310	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017728/ERR2017728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017728/ERR2017728_2.fastq.gz
ERR2017729	SAMEA104142160	ERX2077311	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017729/ERR2017729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017729/ERR2017729_2.fastq.gz
ERR2017734	SAMEA104142155	ERX2077316	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017734/ERR2017734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017734/ERR2017734_2.fastq.gz
ERR2017736	SAMEA104142085	ERX2077318	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017736/ERR2017736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017736/ERR2017736_2.fastq.gz
